embedding_x,embedding_y
6.101183,9.462905
7.863738,7.297892
6.118375,8.821128
-3.3364825,-2.5783284
-7.924327,-9.996942
6.633084,6.919018
5.6814303,10.22506
-7.289985,2.6580873
6.0040417,9.262703
19.283617,14.259857
1.6744099,-4.073653
-2.815764,-3.417537
4.9179254,11.023389
15.661263,-16.646444
6.242992,9.226025
4.960225,10.972712
8.86395,-8.986975
-2.5577087,-3.194895
25.066053,-4.5478997
5.430415,10.842077
5.5443664,10.526793
-6.2132025,10.087115
6.1121526,7.3342686
17.58494,8.300749
5.6727176,10.25573
25.066032,-4.5475745
11.962011,8.057164
14.774486,-2.816912
15.496837,5.32183
17.560547,0.51594806
6.8410363,11.119498
15.621281,6.268011
14.647399,-3.5363724
2.6158485,-4.925075
-3.7927616,-2.0447347
17.54018,8.215345
4.9558496,10.987564
17.056568,7.643629
5.6547256,10.496219
12.784454,8.285206
18.177149,8.756998
7.4463735,5.5966377
8.192746,11.729525
16.397505,-16.707613
13.974153,-2.9475951
14.01333,-2.8516173
19.582699,-1.099324
4.951618,10.968934
15.487842,6.2194257
14.488092,4.863842
14.622881,-2.736058
-6.564005,3.4496968
-1.966458,18.538645
-4.8018465,-10.602739
6.8788433,4.451117
9.63188,-17.074358
1.7894336,18.430874
13.543854,6.674521
-4.849684,-10.652715
15.647565,-16.645304
18.90635,-13.666295
19.269625,14.243967
-11.346117,1.3267361
9.102696,-9.384219
-8.902631,5.418304
-2.7030292,-6.4268217
4.939833,10.984372
15.251944,5.7055125
5.04368,10.9270315
7.070887,9.620775
5.6874766,10.211338
7.0619774,12.159625
25.051527,-4.5577645
9.9607725,-17.151337
25.066711,-4.5483203
-11.1119,1.1758883
7.9329963,7.2373056
5.3819356,10.854731
8.425697,12.83622
13.671435,-2.89074
25.040844,-4.5696807
6.633399,9.021117
9.916997,-17.123667
18.805347,-0.33107415
16.14581,-17.077389
6.7129016,4.610018
-9.132431,-3.34679
14.816248,-2.8963053
-4.852921,-10.655927
5.878067,4.706038
12.219393,8.296298
-3.6923032,-2.152027
